,gucci,patek,versace,balenciaga,saint laurent
2017-10-22,63.45454545454545,76.89090909090909,70.2909090909091,70.83636363636364,52.50909090909091
2017-10-23,63.666666666666664,65.625,62.75,79.5,62.875
2017-10-24,63.208333333333336,66.04166666666667,57.875,67.33333333333333,59.958333333333336
2017-10-25,66.16666666666667,62.916666666666664,59.541666666666664,63.041666666666664,59.458333333333336
2017-10-26,62.916666666666664,64.83333333333333,58.416666666666664,63.25,58.25
2017-10-27,65.75,69.0,57.208333333333336,63.583333333333336,61.333333333333336
2017-10-28,70.75,69.75,61.083333333333336,68.45833333333333,63.791666666666664
2017-10-29,85.76363636363637,82.7090909090909,62.163636363636364,74.16363636363636,53.0
2017-10-30,69.58333333333333,66.70833333333333,48.625,69.75,52.958333333333336
2017-10-31,63.916666666666664,71.95833333333333,45.375,62.833333333333336,51.083333333333336
2017-11-01,66.45833333333333,70.66666666666667,51.583333333333336,64.08333333333333,51.041666666666664
2017-11-02,68.66666666666667,70.95833333333333,50.5,71.83333333333333,54.458333333333336
2017-11-03,69.16666666666667,72.125,54.208333333333336,74.54166666666667,55.791666666666664
2017-11-04,74.125,76.45833333333333,58.75,79.91666666666667,59.958333333333336
2017-11-05,84.52727272727273,80.85454545454546,69.03636363636363,75.76363636363637,70.87272727272727
2017-11-06,63.625,67.16666666666667,42.541666666666664,68.45833333333333,71.33333333333333
2017-11-07,62.916666666666664,67.75,41.416666666666664,76.70833333333333,71.75
2017-11-08,65.79166666666667,67.91666666666667,46.708333333333336,70.625,70.29166666666667
2017-11-09,66.04166666666667,71.33333333333333,45.916666666666664,68.375,68.70833333333333
2017-11-10,67.125,73.41666666666667,47.208333333333336,67.375,72.16666666666667
2017-11-11,76.33333333333333,78.66666666666667,50.833333333333336,76.95833333333333,77.95833333333333
2017-11-12,87.58181818181818,82.69090909090909,42.70909090909091,81.94545454545455,76.36363636363636
2017-11-13,66.625,69.875,27.5,67.375,70.70833333333333
2017-11-14,64.75,73.0,27.0,65.875,70.16666666666667
2017-11-15,67.91666666666667,73.625,40.125,66.16666666666667,69.16666666666667
2017-11-16,69.625,74.45833333333333,39.125,65.5,68.625
2017-11-17,71.375,76.375,33.625,65.04166666666667,71.375
2017-11-18,75.875,80.0,34.5,74.0,75.16666666666667
2017-11-19,83.14545454545454,29.236363636363638,51.89090909090909,71.96363636363637,61.345454545454544
2017-11-20,61.75,6.541666666666667,43.416666666666664,60.875,56.166666666666664
2017-11-21,60.416666666666664,6.5,42.75,57.791666666666664,55.625
2017-11-22,62.791666666666664,6.791666666666667,42.916666666666664,57.916666666666664,59.291666666666664
2017-11-23,66.83333333333333,11.541666666666666,48.375,61.291666666666664,63.5
2017-11-24,76.20833333333333,8.041666666666666,55.166666666666664,69.41666666666667,74.95833333333333
2017-11-25,74.95833333333333,8.0,55.25,70.25,69.625
2017-11-26,88.16363636363636,31.436363636363637,62.81818181818182,79.52727272727273,71.36363636363636
2017-11-27,72.25,32.833333333333336,50.208333333333336,69.5,67.91666666666667
2017-11-28,69.0,34.666666666666664,41.958333333333336,64.08333333333333,64.375
2017-11-29,65.70833333333333,34.75,40.916666666666664,63.833333333333336,62.25
2017-11-30,65.875,35.291666666666664,43.375,62.75,61.958333333333336
2017-12-01,68.58333333333333,37.25,42.916666666666664,62.916666666666664,63.791666666666664
2017-12-02,75.375,37.0,47.291666666666664,71.5,67.79166666666667
